Index,Mix 1,Mix 2,Mix 3,Mix 4,Mix 5,Mix 6,Mix 7,Mix 8
1,0.000374805,0.017959367,0.000361393,0.004684193,4.54464E-09,1.43009E-06,3.45006E-08,2.82904E-05
2,4.82484E-05,0.023090615,0.203919078,0.128321261,7.37361E-06,0.001975428,0.001897488,0.006667283
3,0.001613111,0.026297644,0.056888069,0.047576093,1.52327E-08,4.43978E-06,0.000607082,0.002139183
4,9.91887E-06,0.040568927,2.62026E-06,1.50629E-06,2.22826E-10,5.92098E-08,8.65499E-07,2.77835E-06
5,0.000840723,0.027099402,0.00019676,0.000246525,1.76247E-07,5.90293E-05,6.4996E-05,0.000454715
6,0.018885198,0.040568927,0.003469823,0.014032351,1.27149E-07,4.55406E-05,2.84872E-05,0.000146653
7,0.104572643,0.026297644,7.9102E-06,2.30794E-06,2.20308E-10,2.64128E-08,8.71468E-07,1.419E-06
8,0.117618339,0.018600773,0.000361393,0.004684193,7.95627E-08,6.50422E-05,6.25547E-08,7.6921E-05
9,0.121552755,0.013116752,2.13317E-05,2.57414E-05,1.53586E-09,1.05902E-06,7.04337E-07,4.748E-06
10,0.004534932,0.010406812,0.003469823,0.014032351,2.58075E-07,0.000138916,6.4996E-05,0.000454715
11,0.001275579,0.018921476,1.22487E-05,2.36896E-05,2.1779E-09,2.01318E-06,4.04611E-06,4.36955E-05
12,0.034581448,0.017157609,7.9102E-06,2.30794E-06,2.20308E-10,2.64128E-08,8.71468E-07,1.419E-06
13,0.020562502,0.026297644,0.000109955,0.000329445,2.16531E-08,6.45925E-08,9.30903E-05,0.000202554
14,0.000211216,0.011609448,0.012610881,0.016482858,3.22279E-07,5.56884E-05,0.0003814,0.000719788
15,0.048662517,0.026297644,7.45546E-05,9.60103E-05,1.98907E-09,1.1892E-06,2.46277E-05,0.000177091
16,0.007661758,0.01077562,0.012610881,0.016482858,3.22279E-07,5.56884E-05,0.0003814,0.000719788
17,0.016731623,0.050671071,0.004168854,0.003029613,4.53205E-10,2.1656E-07,4.59034E-05,0.000186271
18,0.003375315,0.045700175,2.82318E-05,4.12247E-05,2.31638E-09,1.71422E-06,9.32585E-06,7.60389E-05
19,0.001950642,0.040568927,1.0211E-05,2.98929E-06,4.84678E-11,8.85018E-09,3.39567E-06,5.55075E-06
20,0.011430515,0.021326748,0.240371866,0.343592063,1.02978E-09,1.19421E-06,0.007940233,0.063375548
21,0.002070745,0.013116752,4.49677E-05,6.04161E-05,1.38479E-08,8.4118E-06,4.90189E-06,3.67743E-05
22,8.28298E-05,0.040568927,0.056888069,0.047576093,1.04489E-08,5.06664E-06,1.06248E-07,0.000111716
23,0.001958925,0.018119718,0.062876603,0.069634071,4.58502E-06,0.002436518,0.020770104,0.128440027
24,0.050733262,0.012523451,0.193026172,0.139297986,2.27862E-09,4.28113E-07,0.002472999,0.00558589
25,0.020314012,0.021326748,2.62026E-06,1.50629E-06,5.45105E-08,6.68162E-06,2.33741E-06,0.000435512
26,0.064400182,0.101342142,0.000963269,0.000381646,1.81282E-08,4.94841E-06,3.53553E-05,7.82162E-05
27,0.003396022,0.040568927,0.030116363,0.083915611,3.27315E-07,0.000209999,0.013690393,0.092222911
28,0.009856748,0.02902362,0.000355435,0.000301564,2.6437E-10,1.27683E-07,1.17177E-05,5.55124E-05
29,0.001954784,0.019562882,0.056076677,0.020586538,6.04274E-08,8.8024E-06,0.001852388,0.003797186
30,0.100431152,0.004537947,0.005031266,0.004502896,1.01594E-08,2.30876E-06,0.000530919,0.001038127
31,0.013128526,0.018761124,0.000154715,0.000239587,5.21186E-09,2.79583E-06,5.11072E-05,0.000441919
32,0.003230363,0.004056893,0.017850805,0.028557691,2.24085E-08,2.86876E-06,1.21767E-07,5.85274E-05
33,0.002174283,0.017959367,2.62026E-06,1.50629E-06,1.86318E-10,6.20889E-08,8.65499E-07,2.77835E-06
34,4.61776E-05,0.026297644,0.005031266,0.004502896,6.73514E-07,0.000559491,0.000710849,0.005699858
35,4.4521E-05,0.002485448,0.004168854,0.003029613,1.46033E-08,5.65933E-06,5.0554E-05,0.000209725
36,0.020707454,0.016035149,2.61626E-05,3.39107E-06,0.000911369,0.000906221,0.000864232,0.000625482
37,0.10353727,0.016035149,1.60747E-05,2.08353E-06,0.000559961,0.000556798,0.000530999,0.000384307
38,0.020707454,0.016035149,0.027799425,0.003603226,0.968387601,0.962917647,0.918301779,0.664614898
39,0.002609139,0.020204288,3.60312E-06,4.67018E-07,0.000125514,0.000124805,0.000119022,8.61415E-05
40,0.020707454,0.016035149,0.000695039,9.00876E-05,0.024211552,0.024074793,0.022959311,0.016616651
41,0.020707454,0.016035149,1.22651E-05,1.58975E-06,0.000427254,0.000424841,0.000405156,0.000293229
42,0.020707454,0.016035149,0.000153933,1.99521E-05,0.00536224,0.005331952,0.005084901,0.003680164
